Name,Rating,Number of Ratings,Price,Winery,Wine style,Alcohol content,Grapes,Bold,Tannin,Sweet,Acidic,Country,Country_region,Beef,Pasta,Lamb,Poultry,Cheese,Fish,Seafood,Cured Meat,Veal,Pork,Mushrooms,"Rich fish (salmon, tuna etc)",Aperitif,Appetizers and snacks,Vegetarian,Shellfish,Blue cheese,Mature and hard cheese,Lean fish,"Game (deer, venison)",Goat cheese,Fruity desserts,Mild and soft cheese,Sweet desserts,Spicy food
Shotfire GSM 2018,3.9,36,19.49,Thorn-Clarke,Australian Rhône Blend Red,14.5,"Mourvedre, Shiraz/Syrah, Grenache",85.0,50.63,9.05,43.0,Australia,South Australia / Barossa,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Passion has Red Lips 2014,3.8,648,18.49,Some Young Punks,Australian Cabernet - Shiraz,14.5,"70 Shiraz/Syrah, 30 Cabernet Sauvignon",85.0,49.37,8.19,44.78,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jester Shiraz 2018,3.9,658,22.0,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,46.65,19.07,44.18,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Shotfire Quartage 2016,3.8,93,17.99,Thorn-Clarke,Australian Bordeaux Blend,14.5,"Cabernet Franc, Malbec, Cabernet Sauvignon",85.0,56.4,10.85,65.28,Australia,South Australia / Barossa,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Stonehorse Shiraz 2018,4.0,288,29.17,Kaesler,Australian Shiraz,14.0,100 Shiraz/Syrah,84.04,44.21,22.1,41.95,Australia,South Australia / Barossa / Barossa Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Jester Shiraz 2017,3.8,883,16.99,Mitolo,Australian Shiraz,14.5,100 Shiraz/Syrah,85.0,46.65,19.07,44.18,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Girt By Sea Cabernet - Merlot 2012,3.8,243,33.47,Voyager Estate,Australian Bordeaux Blend,13.8,"Merlot, Cabernet Sauvignon",83.22,53.62,5.3,61.61,Australia,Western Australia / South West Australia / Margaret River,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Max's Shiraz - Cabernet 2019,4.0,561,21.99,Penfolds,Australian Cabernet - Shiraz,14.5,100 Shiraz/Syrah,85.0,47.68,8.05,44.07,Australia,South Australia,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Formula Robert's Shiraz 2017,3.9,225,15.99,Small Gully,Australian Shiraz,15.9,100 Shiraz/Syrah,85.0,43.67,19.47,42.11,Australia,South Australia / Barossa / Barossa Valley,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Angels' Share Shiraz 2020,3.9,1803,26.99,Two Hands,Australian Shiraz,14.2,100 Shiraz/Syrah,85.0,45.84,20.08,44.14,Australia,South Australia / Fleurieu / McLaren Vale,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
